,question_len,answer_len
numerical_reasoning_15_true_false_answer_question_1,3351,5
numerical_reasoning_15_true_false_answer_question_4,3361,5
numerical_reasoning_15_true_false_answer_question_5,3365,5
numerical_reasoning_15_true_false_answer_question_6,3389,5
numerical_reasoning_15_free_answer_question_7,3386,2
numerical_reasoning_15_free_answer_question_8,3408,2
numerical_reasoning_15_free_answer_question_9,3431,3
numerical_reasoning_15_free_answer_question_10,3411,1
numerical_reasoning_15_free_answer_question_11,3413,3
numerical_reasoning_15_free_answer_question_13,3477,2
numerical_reasoning_19_true_false_answer_question_1,3491,5
numerical_reasoning_19_true_false_answer_question_4,3501,5
numerical_reasoning_19_true_false_answer_question_5,3505,5
numerical_reasoning_19_true_false_answer_question_6,3529,5
numerical_reasoning_19_free_answer_question_7,3526,2
numerical_reasoning_19_free_answer_question_8,3548,2
numerical_reasoning_19_free_answer_question_9,3571,3
numerical_reasoning_19_free_answer_question_10,3551,1
numerical_reasoning_19_free_answer_question_11,3553,3
numerical_reasoning_19_free_answer_question_13,3617,2
hallucination_1_true_false_answer_question_1,2903,5
hallucination_1_true_false_answer_question_2,2924,4
hallucination_1_true_false_answer_question_3,2928,5
hallucination_1_true_false_answer_question_4,2951,5
hallucination_1_true_false_answer_question_5,2953,5
hallucination_1_free_answer_question_6,3115,9
hallucination_1_free_answer_question_7,4763,4
hallucination_1_free_answer_question_8,10674,32
hallucination_5_true_false_answer_question_1,3046,5
hallucination_5_true_false_answer_question_2,3067,5
hallucination_5_true_false_answer_question_3,3071,5
hallucination_5_true_false_answer_question_4,3094,5
hallucination_5_true_false_answer_question_5,3096,5
hallucination_5_free_answer_question_6,3236,9
hallucination_5_free_answer_question_7,5045,34
hallucination_5_free_answer_question_8,14392,38
hallucination_10_true_false_answer_question_1,3221,5
hallucination_10_true_false_answer_question_2,3242,5
hallucination_10_true_false_answer_question_3,3246,5
hallucination_10_true_false_answer_question_4,3269,5
hallucination_10_true_false_answer_question_5,3271,4
hallucination_10_free_answer_question_6,3345,9
hallucination_10_free_answer_question_7,5493,21
hallucination_10_free_answer_question_8,10882,38
hallucination_15_true_false_answer_question_1,3396,5
hallucination_15_true_false_answer_question_2,3417,5
hallucination_15_true_false_answer_question_3,3421,5
hallucination_15_true_false_answer_question_4,3444,5
hallucination_15_true_false_answer_question_5,3446,5
hallucination_15_free_answer_question_6,3640,8
hallucination_15_free_answer_question_7,5541,34
hallucination_15_free_answer_question_8,17059,38
hallucination_19_true_false_answer_question_1,3536,5
hallucination_19_true_false_answer_question_2,3557,5
hallucination_19_true_false_answer_question_3,3560,5
hallucination_19_true_false_answer_question_4,3584,5
hallucination_19_true_false_answer_question_5,3586,5
hallucination_19_free_answer_question_6,3737,9
hallucination_19_free_answer_question_7,5681,34
hallucination_19_free_answer_question_8,15113,38
