,question_len,answer_len
hallucination_5_true_false_answer_question_4,1828,5
hallucination_5_true_false_answer_question_5,1833,4
hallucination_5_free_answer_question_6,1835,2
hallucination_5_free_answer_question_7,2041,26
hallucination_5_free_answer_question_8,3049,30
hallucination_10_true_false_answer_question_1,1918,5
hallucination_10_true_false_answer_question_2,1938,5
hallucination_10_true_false_answer_question_3,1941,5
hallucination_10_true_false_answer_question_4,1969,5
hallucination_10_true_false_answer_question_5,1972,5
hallucination_10_free_answer_question_6,1962,2
hallucination_10_free_answer_question_7,2218,16
hallucination_10_free_answer_question_8,2803,30
hallucination_15_true_false_answer_question_1,2025,5
hallucination_15_true_false_answer_question_2,2040,5
hallucination_15_true_false_answer_question_3,2048,5
hallucination_15_true_false_answer_question_4,2074,5
hallucination_15_true_false_answer_question_5,2078,5
hallucination_15_free_answer_question_6,2081,2
hallucination_15_free_answer_question_7,2274,4
hallucination_15_free_answer_question_8,3300,30
hallucination_19_true_false_answer_question_1,2130,5
hallucination_19_true_false_answer_question_2,2149,5
hallucination_19_true_false_answer_question_3,2150,4
hallucination_19_true_false_answer_question_4,2179,5
hallucination_19_true_false_answer_question_5,2184,5
hallucination_19_free_answer_question_6,2186,2
hallucination_19_free_answer_question_7,2360,26
hallucination_19_free_answer_question_8,3150,30
